2_0	1_24	34.259	540	273	11	7	496	5	512	7.75e-95	307
2_0	1_15	41.971	274	138	2	303	555	1	274	6.69e-76	237
2_0	1_296	25.352	497	275	14	137	550	126	609	3.67e-29	117
2_0	1_148	28.272	191	125	4	237	426	24	203	3.47e-14	70.5
2_0	1_189	56.000	50	22	0	502	551	5	54	2.25e-12	62.8
2_1	1_420	81.269	662	119	4	1	662	1	657	0.0	1117
2_2	1_309	93.843	471	25	2	6	473	1	470	0.0	917
2_3	1_213	82.353	510	88	2	15	523	1	509	0.0	875
2_3	1_277	38.215	437	258	4	85	520	19	444	5.67e-103	312
2_4	1_99	97.151	351	10	0	1	351	17	367	0.0	718
2_4	1_332	24.545	330	198	8	15	303	133	452	1.10e-25	102
2_4	1_149	29.060	234	150	8	7	231	92	318	1.26e-20	87.8
2_4	1_149	26.667	255	158	10	17	257	462	701	6.47e-18	79.7
2_4	1_200	28.947	228	137	11	13	229	179	392	2.04e-16	74.7
2_4	1_295	31.068	206	125	7	25	218	31	231	5.20e-16	72.0
2_4	1_275	27.976	168	103	6	150	304	3	165	5.24e-09	50.4
2_4	1_425	25.180	139	85	5	106	232	1003	1134	3.55e-07	46.6
2_5	1_274	90.296	371	35	1	1	371	1	370	0.0	682
2_6	1_75	72.250	400	106	4	12	410	16	411	0.0	609
2_7	1_234	70.933	375	96	3	1	364	1	373	0.0	527
2_8	1_407	89.005	573	57	3	1	567	1	573	0.0	1071
2_10	1_284	85.075	67	10	0	167	233	1	67	9.96e-37	119
2_11	1_251	78.125	576	95	7	7	571	8	563	0.0	913
2_12	1_38	73.971	680	96	14	1	616	1	663	0.0	899
2_13	1_26	76.706	2447	538	19	635	3063	2	2434	0.0	3536
2_15	1_254	92.933	283	20	0	1	283	24	306	0.0	554
2_16	1_184	60.305	131	46	2	1	127	65	193	2.44e-43	136
2_17	1_48	87.156	654	83	1	53	705	25	678	0.0	1195
2_18	1_216	78.158	760	161	3	1	755	1	760	0.0	1205
2_19	1_427	86.864	472	45	7	1	458	1	469	0.0	791
2_20	1_26	76.706	2447	538	19	635	3063	2	2434	0.0	3534
2_21	1_253	29.796	245	148	5	148	368	497	741	2.20e-27	108
2_21	1_253	24.615	195	89	4	5	141	189	383	6.97e-13	64.7
2_21	1_233	30.472	233	132	9	140	366	405	613	3.47e-15	71.6
2_21	1_9	30.472	233	132	9	140	366	535	743	4.81e-15	71.2
2_21	1_165	27.273	209	118	5	148	322	769	977	2.76e-12	62.8
2_21	1_165	25.381	197	89	4	2	140	454	650	6.29e-12	61.6
2_21	1_56	26.455	189	122	4	172	358	39	212	8.16e-12	58.9
2_21	1_74	26.596	188	107	4	172	357	504	662	3.83e-11	58.9
2_21	1_156	27.717	184	113	5	172	352	320	486	2.13e-10	56.6
2_21	1_118	38.571	70	42	1	1	70	253	321	7.30e-10	55.1
2_21	1_90	26.923	234	131	11	146	369	579	782	1.24e-09	54.3
2_21	1_90	38.182	55	34	0	1	55	305	359	4.39e-06	43.1
2_21	1_188	30.337	178	80	5	9	146	275	448	3.62e-09	52.8
2_21	1_158	38.095	84	46	4	289	369	618	698	9.96e-09	51.6
2_21	1_158	40.741	54	32	0	1	54	231	284	1.45e-07	47.8
2_21	1_315	29.730	148	91	6	143	281	857	1000	1.23e-08	51.2
2_21	1_315	41.818	55	31	1	9	63	551	604	3.67e-05	40.4
2_21	1_337	31.818	66	45	0	1	66	1263	1328	1.19e-07	48.5
2_21	1_357	33.333	54	36	0	1	54	986	1039	1.31e-06	45.1
2_21	1_356	38.182	55	34	0	1	55	354	408	4.43e-06	43.1
2_21	1_387	38.182	55	34	0	1	55	296	350	4.59e-06	42.7
2_21	1_68	58.065	31	13	0	304	334	254	284	4.57e-05	39.3
2_21	1_5	35.185	54	35	0	287	340	603	656	1.58e-04	38.1
